Vertices,Time_Seconds
10,0.000010
20,0.000068
30,0.000149
40,0.000578
50,0.001089
60,0.001666
70,0.002588
80,0.003766
90,0.005510
100,0.007351
110,0.009884
120,0.009003
130,0.008379
140,0.010477
150,0.020199
160,0.026898
170,0.021258
180,0.022722
190,0.026152
200,0.038381
210,0.037170
220,0.043836
230,0.056941
240,0.080516
250,0.102257
260,0.116805
270,0.130630
280,0.094386
290,0.108727
300,0.122827
310,0.118724
320,0.127061
330,0.166933
340,0.162552
350,0.156684
360,0.212020
370,0.196540
380,0.209883
390,0.260473
400,0.331621